Provincia,openmrs_us,Unidade Sanitaria,URI,UUID,DataSet
Manica,CS 1 de Maio,CS 1º de Maio,http://41.191.74.42:8080/pdmaio/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS 4 Congresso,CS 4º Congresso,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS 7 de Abril,CS 7 de Abril,http://41.191.74.42:8080/sdabril/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Amatongas,CS Amatongas,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Bassane,CS Bassane,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chaiva,CS Chaiva,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chigodore,CS Chigodore,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chipodji,CS Chipodji,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chipopopo,CS Chipopopo,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chissui,CS Chissui,http://41.191.74.42:8080/chissui/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chitobe,CS Chitobe,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Chiuala,CS Chiuala,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Cruzamento de Macossa,CS Cruzamento de Macossa,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Dacata,CS Dacata,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Darue,CS Darue,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Dombe,CS Dombe,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Eduardo Mondlane,CS Eduardo Mondlane,http://41.191.74.42:8080/emondlane/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Garagua,CS Garagua,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Gondola Sede,CS Gondola Sede,http://41.191.74.42:8080/gondola/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Gunhe,CS Gunhe,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
