Province,District,orgUnit,orgUnitOpenmrs,id
Tete,Changara,CS Dzunga,CS Dzunga,DPpYRj17uV1
Tete,Changara,CS Changara Sede,CS Changara,L62WV6AxXbu
Tete,Changara,CS Missaua,CS Missaua,vI8pjj6mcAu
Tete,Changara,CS Mazoe,CS Mazoe-Ponte,Toljlj09adn
Tete,Cidade de Tete,CS Nº 2 - Bairro Matundo,CS N2,BEIqK4935Si
Tete,Cidade de Tete,CS Mpadue,CS Mpadue,CjbDec4FkeU
Tete,Cidade de Tete,CS Nº 3 - Bairro Manyanga,CS N3,ris2tuYoYtW
Tete,Cidade de Tete,CS Nº 4 - Bairro Muthemba,CS N4,LoiUO8sLgRA
Tete,Cidade de Tete,HP Tete,HPT,cXKrZBbUhrD
Tete,Cidade de Tete,CS Nº 1 - Bairro Magaia,CS N1,RxiHBnSddHb
Tete,Mutarara,CS Inhangoma,CS Inhangoma,XV1d4AS1A7z
Tete,Mutarara,HR Mutarara,HR Mutarara,jrv5B2suUiV
Tete,Moatize,CS 25 de Setembro,CS 25 de Setmbro,GpVP3Er8tHH
Tete,Moatize,CS Zóbue,CS Zobue,xIElA3ybQ9K
Tete,Moatize,CS Moatize,CS Moatize,K3zTWxyKzE5
Tete,Moatize,CS Caphirizange,CS Capirizange,eeXvku5d78S
Tete,Moatize,CS CFM,CS CFM,EqSs8Eh9tZl
Tete,Moatize,CS Ncondedzi,CS Nkondedzi,eydYBmar8my
Tete,Moatize,CS Cateme,CS Cateme,HMVJTsa8OXT
Tete,Moatize,CS Mameme II,CS Mameme II,RHvxT0kh778
Tete,Angonia,CS Domue,CS Domue,MfZ1FGglCMh
Tete,Angonia,CS Lifidzi,CS Lifidzi,gkGCB2QSrvm
Tete,Angonia,HR Ulongue,HR Ulongue,lO1ZOpovYiZ
Tete,Angonia,CS Ulongue,CS Ulongue,sPZW2VMVI6B
Tete,Marara,CS Cachembe,CS Cachembe,hkIFBir1IrX
Tete,Marara,CS Boroma,CS Boroma,BxkIkDAITR2
Manica,Barue,CS Chiuala,CS Chiuala,fDqUIAimXAL
Manica,Barue,CS Nhassacara,CS Nhassacara,GsYcZ9h9BUK
Manica,Barue,CS Nhazonia,CS Nhazonia,d3aFvsvQ7O2
Manica,Barue,HD Catandica,HD Catandica,omMGWeMjO27
Manica,Barue,CS Honde,CS Honde,XOhxRL9w3Jt
Manica,Barue,CS Cruzamento de Macossa,CS Cruzamento de Macossa,rsZpZwTAPq1
Manica,Barue,CS Nhampassa,CS Nhampassa,xpFEJzy6IXt
Tete,Cahora Bassa,HR Songo,HR Songo,IMtx8G5tq4u
Tete,Cahora Bassa,CS Chitima,CS Chitima,e8wv3acHddB
Manica,Guro,CS Mandie,CS Mandie,wdaQR3Yk6ji
Manica,Guro,CS Guro-Sede,CS Guro Sede,X8TLq4JNXju
Tete,Macanga,CS Furancungo,CS Furancungo,RRFBArNZQqU
Tete,Chiuta,CS Manje,CS Manje,cngCCowWdet
Manica,Vanduzi,CS IAC,CS IAC,goKXBs7N5B8
Manica,Vanduzi,CS Matsinho,CS Matsinho,dVMKbEosMwp
Manica,Vanduzi,CS Pungue Sul,CS Pungue Sul,vtKfiT3Z1Co
Manica,Vanduzi,CS Vandúzi,CS Vanduzi,KImmzT8DzJ7
Manica,Vanduzi,CS Chigodore,CS Chigodole,RZSIFguHtRn
Manica,Macate,CS Zembe Centro,CS Bassane,JCaOI2EWde3
Manica,Macate,CS Macate,CS Macate,mNfnkeXdKxY
Manica,Macate,CS Marera,CS Zembe Centro,tkLybDtDdo0
Tete,Magoe,CS Daque,CS Daque,NE3tEHxUcic
Tete,Magoe,CS Mucumbura,CS Mucumbura,CAszGuhyUnC
Tete,Magoe,CS Magoe,CS Magoe,zo9yOvNADO0
Manica,Machaze,CS Bassane,CS Chipopopo,Sqry0ikIChZ
Manica,Machaze,CS Chipodji,CS Chitobe,MdN1RqeBzCP
Manica,Machaze,CS Chitobe,CS Marera,e3XMm8h8pJ3
Manica,Machaze,CS Mavende,CS Mavende,oi1t1JPUViW
Manica,Machaze,CS Save,CS Save,HZVnPphSXDJ
Manica,Machaze,CS Mazwissanga,CS Mavissanga,MfZ8vUFX3fM
Manica,Machaze,CS Chipopopo,CS Chipudje,wXsyilYI7PO
Manica,Mossurize,CS Dacata,CS Dacata,pdtUKo1EQzR
